y,u(n0.5) sim,u(n1) sim,u(n1.5) sim,u(n0.5) an,u(n1) an,u(n1.5) an
0.5,0.16672,0.25,0.29988,0.166666666666667,0.25,0.3
0.501,0.16672,0.24997,0.29981,0.166666665333333,0.249999,0.299990475593688
0.502,0.16672,0.24995,0.29974,0.166666656,0.249996,0.299969761894802
0.503,0.16672,0.24993,0.29967,0.166666630666667,0.249991,0.29994056530952
0.504,0.16671,0.2499,0.29959,0.166666581333333,0.249984,0.299904
0.505,0.16671,0.24987,0.29952,0.1666665,0.249975,0.299860752334992
0.506,0.16671,0.24985,0.29945,0.166666378666667,0.249964,0.299811306619617
0.507,0.16671,0.24983,0.29938,0.166666209333333,0.249951,0.29975603099919
0.508,0.1667,0.2498,0.29931,0.166665984,0.249936,0.299695218998022
0.509,0.1667,0.24977,0.29923,0.166665694666667,0.249919,0.299629112585413
0.51,0.1667,0.24975,0.29916,0.166665333333333,0.2499,0.299557916220163
0.511,0.1667,0.24972,0.29909,0.166664892,0.249879,0.299481805988904
0.512,0.16669,0.2497,0.29902,0.166664362666667,0.249856,0.299400935858961
0.513,0.16669,0.24968,0.29895,0.166663737333333,0.249831,0.299315442129484
0.514,0.16669,0.24965,0.29887,0.166663008,0.249804,0.299225446702934
0.515,0.16669,0.24962,0.2988,0.166662166666667,0.249775,0.299131059553855
0.516,0.16669,0.2496,0.29873,0.166661205333333,0.249744,0.299032380633681
0.517,0.16668,0.24958,0.29866,0.166660116,0.249711,0.298929501368456
0.518,0.16668,0.24955,0.29858,0.166658890666667,0.249676,0.298822505855845
0.519,0.16668,0.24952,0.29851,0.166657521333333,0.249639,0.298711471835505
0.52,0.16668,0.2495,0.29844,0.166656,0.2496,0.298596471485658
0.521,0.16667,0.24948,0.29837,0.166654318666667,0.249559,0.298477572084269
0.522,0.16667,0.24945,0.2983,0.166652469333333,0.249516,0.298354836563326
0.523,0.16667,0.24942,0.29822,0.166650444,0.249471,0.298228323977653
0.524,0.16667,0.2494,0.29815,0.166648234666667,0.249424,0.298098089904637
0.525,0.16666,0.24938,0.29808,0.166645833333333,0.249375,0.297964186787554
0.526,0.16665,0.2493,0.2979,0.166643232,0.249324,0.297826664232421
0.527,0.16665,0.24923,0.29772,0.166640422666667,0.249271,0.29768556926623
0.528,0.16664,0.24915,0.29754,0.166637397333333,0.249216,0.297540946562864
0.529,0.16663,0.24907,0.29736,0.166634148,0.249159,0.297392838641749
0.53,0.16662,0.249,0.29718,0.166630666666667,0.2491,0.297241286043383
0.531,0.16661,0.24893,0.297,0.166626945333333,0.249039,0.29708632748512
0.532,0.16661,0.24885,0.29682,0.166622976,0.248976,0.296928
0.533,0.1666,0.24878,0.29664,0.166618750666667,0.248911,0.296766339060953
0.534,0.16659,0.2487,0.29646,0.166614261333333,0.248844,0.296601378692314
0.535,0.16658,0.24862,0.29628,0.1666095,0.248775,0.296433151570292
0.536,0.16657,0.24855,0.2961,0.166604458666667,0.248704,0.296261689113763
0.537,0.16656,0.24848,0.29592,0.166599129333333,0.248631,0.296087021566578
0.538,0.16656,0.2484,0.29574,0.166593504,0.248556,0.29590917807238
0.539,0.16655,0.24833,0.29556,0.166587574666667,0.248479,0.295728186742792
0.54,0.16654,0.24825,0.29538,0.166581333333333,0.2484,0.295544074719732
0.541,0.16653,0.24817,0.2952,0.166574772,0.248319,0.295356868232474
0.542,0.16652,0.2481,0.29501,0.166567882666667,0.248236,0.295166592650046
0.543,0.16652,0.24803,0.29483,0.166560657333333,0.248151,0.294973272529416
0.544,0.16651,0.24795,0.29465,0.166553088,0.248064,0.294776931659929
0.545,0.1665,0.24788,0.29447,0.166545166666667,0.247975,0.294577593104334
0.546,0.16649,0.2478,0.29429,0.166536885333333,0.247884,0.294375279236759
0.547,0.16648,0.24773,0.29411,0.166528236,0.247791,0.294170011777908
0.548,0.16648,0.24765,0.29393,0.166519210666667,0.247696,0.293961811827743
0.549,0.16647,0.24757,0.29375,0.166509801333333,0.247599,0.29375069989588
0.55,0.16646,0.2475,0.29357,0.1665,0.2475,0.293536695929904
