y,Ux (sim),Ux (an),,,,
0,0,0,,,,
0.001,0.17745,253.876379738073,,,,
0.002,0.3549,507.244498455649,,,,
0.003,0.53235,760.104356152728,,,,
0.004,0.7098,1012.45595282931,,,,
0.005,0.88724,1264.2992884854,,,,
0.006,1.0647,1515.63436312099,,,,
0.007,1.2421,1766.46117673608,,,,
0.008,1.4196,2016.77972933068,,,m,1/m
0.009,1.597,2266.59002090478,,,0.000003934986,254130.510248321
0.01,1.7745,2515.89205145838,,,,
0.011,1.9519,2764.68582099149,,,,
0.012,2.1294,3012.97132950409,,,,
0.013,2.3068,3260.74857699621,,,,
0.014,2.4843,3508.01756346782,,,,
0.015,2.6617,3754.77828891894,,,,
0.016,2.8392,4001.03075334957,,,,
0.017,3.0166,4246.77495675969,,,,
0.018,3.1941,4492.01089914932,,,,
0.019,3.3715,4736.73858051846,,,,
0.02,3.549,4980.95800086709,,,,
0.021,3.7264,5224.66916019523,,,,
0.022,3.9039,5467.87205850288,,,,
0.023,4.0813,5710.56669579002,,,,
0.024,4.2588,5952.75307205667,,,,
0.025,4.4362,6194.43118730283,,,,
0.026,4.4476,6435.60104152848,,,,
0.027,4.4591,6676.26263473364,,,,
0.028,4.4705,6916.41596691831,,,,
0.029,4.4819,7156.06103808247,,,,
0.03,4.4934,7395.19784822614,,,,
0.031,4.5048,7633.82639734932,,,,
0.032,4.5162,7871.946685452,,,,
0.033,4.5276,8109.55871253418,,,,
0.034,4.5391,8346.66247859586,,,,
0.035,4.5505,8583.25798363705,,,,
0.036,4.5619,8819.34522765773,,,,
0.037,4.5733,9054.92421065793,,,,
0.038,4.5848,9289.99493263763,,,,
0.039,4.5962,9524.55739359683,,,,
0.04,4.6076,9758.61159353553,,,,
0.041,4.6191,9992.15753245374,,,,
0.042,4.6305,10225.1952103514,,,,
0.043,4.6419,10457.7246272287,,,,
0.044,4.6533,10689.7457830854,,,,
0.045,4.6648,10921.2586779216,,,,
0.046,4.6762,11152.2633117373,,,,
0.047,4.6876,11382.7596845326,,,,
0.048,4.6991,11612.7477963073,,,,
0.049,4.7105,11842.2276470615,,,,
0.05,4.7219,12071.1992367953,,,,
0.051,4.7226,12299.6625655085,,,,
0.052,4.7232,12527.6176332012,,,,
0.053,4.7239,12755.0644398735,,,,
0.054,4.7246,12982.0029855252,,,,
0.055,4.7253,13208.4332701565,,,,
0.056,4.7259,13434.3552937672,,,,
0.057,4.7266,13659.7690563575,,,,
0.058,4.7273,13884.6745579273,,,,
0.059,4.7279,14109.0717984765,,,,
0.06,4.7286,14332.9607780053,,,,
0.061,4.7293,14556.3414965136,,,,
0.062,4.73,14779.2139540014,,,,
0.063,4.7306,15001.5781504686,,,,
0.064,4.7313,15223.4340859154,,,,
0.065,4.732,15444.7817603417,,,,
0.066,4.7326,15665.6211737475,,,,
0.067,4.7333,15885.9523261328,,,,
0.068,4.734,16105.7752174976,,,,
0.069,4.7347,16325.0898478419,,,,
0.07,4.7353,16543.8962171657,,,,
0.071,4.736,16762.194325469,,,,
0.072,4.7367,16979.9841727518,,,,
0.073,4.7373,17197.2657590141,,,,
0.074,4.738,17414.039084256,,,,
0.075,4.7387,17630.3041484773,,,,
0.076,4.7387,17846.0609516781,,,,
0.077,4.7388,18061.3094938584,,,,
0.078,4.7388,18276.0497750183,,,,
0.079,4.7389,18490.2817951576,,,,
0.08,4.739,18704.0055542764,,,,
0.081,4.739,18917.2210523748,,,,
0.082,4.7391,19129.9282894526,,,,
0.083,4.7391,19342.12726551,,,,
0.084,4.7392,19553.8179805468,,,,
0.085,4.7392,19765.0004345632,,,,
0.086,4.7393,19975.674627559,,,,
0.087,4.7393,20185.8405595344,,,,
0.088,4.7394,20395.4982304893,,,,
0.089,4.7394,20604.6476404236,,,,
0.09,4.7395,20813.2887893375,,,,
0.091,4.7396,21021.4216772309,,,,
0.092,4.7396,21229.0463041038,,,,
0.093,4.7397,21436.1626699561,,,,
0.094,4.7397,21642.770774788,,,,
0.095,4.7398,21848.8706185994,,,,
0.096,4.7398,22054.4622013903,,,,
0.097,4.7399,22259.5455231607,,,,
0.098,4.7399,22464.1205839106,,,,
0.099,4.74,22668.18738364,,,,
0.1,4.74,22871.7459223489,,,,
0.101,4.7401,23074.7962000373,,,,
0.102,4.7401,23277.3382167052,,,,
0.103,4.7401,23479.3719723526,,,,
0.104,4.7401,23680.8974669795,,,,
0.105,4.7401,23881.914700586,,,,
0.106,4.7401,24082.4236731719,,,,
0.107,4.7401,24282.4243847373,,,,
0.108,4.7401,24481.9168352823,,,,
0.109,4.7401,24680.9010248067,,,,
0.11,4.7401,24879.3769533106,,,,
0.111,4.7401,25077.3446207941,,,,
0.112,4.7401,25274.804027257,,,,
0.113,4.7401,25471.7551726995,,,,
0.114,4.7401,25668.1980571214,,,,
0.115,4.7401,25864.1326805229,,,,
0.116,4.7401,26059.5590429038,,,,
0.117,4.7401,26254.4771442643,,,,
0.118,4.7401,26448.8869846043,,,,
0.119,4.7401,26642.7885639237,,,,
0.12,4.7401,26836.1818822227,,,,
0.121,4.7402,27029.0669395012,,,,
0.122,4.7402,27221.4437357592,,,,
0.123,4.7402,27413.3122709966,,,,
0.124,4.7402,27604.6725452136,,,,
0.125,4.7402,27795.5245584101,,,,
0.126,4.7402,27985.8683105861,,,,
0.127,4.7402,28175.7038017416,,,,
0.128,4.7402,28365.0310318766,,,,
0.129,4.7402,28553.8500009911,,,,
0.13,4.7402,28742.1607090851,,,,
